560026,9.06
560040,7.65
560041,23.46
560022,15.9
560066,44.08
562125,16.75
560014,38.52
560015,38.02
560037,23.83
560079,7.18
560027,22.34
560002,9.19
560084,23.51
560025,34.38
560080,36.51
560098,31.0
560061,17.54
560028,7.3
562157,11.01
560003,12.45
560021,12.81
560064,14.9
560043,17.48
560038,32.7
560013,20.55
560052,38.38
560036,23.21
560067,23.47
560030,27.37
560104,6.87
560020,23.84
560072,16.37
560023,6.67
560018,7.06
560054,38.27
560048,36.62
560095,24.22
560086,7.56
560034,35.79
560085,11.89
560068,18.06
560103,26.4
560070,15.2
560063,9.0
560093,26.68
560094,42.72
560091,13.66
560046,32.54
560096,6.37
562149,12.31
560065,10.48
560001,34.51
560010,9.5
562107,14.65
560099,24.56
560042,18.49
560016,18.07
560071,32.53
560056,25.31
560055,22.77
560092,10.61
560078,18.48
562106,17.18
560059,41.11
560087,14.92
560033,34.63
560051,32.34
560024,16.54
560074,30.53
560004,28.23
560069,10.73
560073,13.94
560062,28.87
560008,35.84
560012,34.74
560039,24.3
560097,15.66
560049,19.76
560077,28.8
560005,31.27
560011,25.94
562130,21.53
560102,25.93
560045,15.44
560053,4.17
560006,45.48
560076,17.17
560050,6.79
560100,14.32
560007,31.83
560017,36.77
560019,11.71
560083,36.39
560058,25.92
560029,31.82
560075,32.23
560047,28.1
560009,14.35
